User Query,Intent,Locations,Dates,Recommendation
"User is looking for hotel booking in Mumbai, Pune.",hotel_booking,"Mumbai, Pune",2024-10-10,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Kolkata.",flight_booking,"Bangalore, Kolkata",2024-06-09,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Bangalore.",car_rental,"Kolkata, Bangalore",2024-02-04,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Kolkata.",travel_advisory,"Bangalore, Kolkata",2024-05-23,No specific recommendation for this route.
"User is looking for flight booking in Kolkata, Bangalore.",flight_booking,"Kolkata, Bangalore",2024-01-08,No specific recommendation for this route.
"User is looking for car rental in Pune, Jaipur.",car_rental,"Pune, Jaipur",2024-07-14,No specific recommendation for this route.
"User is looking for travel advisory in Bangalore, Bangalore.",travel_advisory,"Bangalore, Bangalore",2024-05-27,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Kolkata.",flight_booking,"Bangalore, Kolkata",2024-07-10,No specific recommendation for this route.
"User is looking for car rental in Kolkata, Hyderabad.",car_rental,"Kolkata, Hyderabad",2024-03-18,No specific recommendation for this route.
"User is looking for flight booking in Pune, Pune.",flight_booking,"Pune, Pune",2024-12-23,No specific recommendation for this route.
"User is looking for hotel booking in Pune, Mumbai.",hotel_booking,"Pune, Mumbai",2024-08-18,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Kolkata.",hotel_booking,"Mumbai, Kolkata",2024-02-11,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Bangalore.",flight_booking,"Bangalore, Bangalore",2024-08-24,No specific recommendation for this route.
"User is looking for travel advisory in Delhi, Hyderabad.",travel_advisory,"Delhi, Hyderabad",2024-12-06,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Kolkata.",flight_booking,"Bangalore, Kolkata",2024-09-12,No specific recommendation for this route.
"User is looking for hotel booking in Mumbai, Mumbai.",hotel_booking,"Mumbai, Mumbai",2024-12-02,No specific recommendation for this route.
"User is looking for hotel booking in Delhi, Bangalore.",hotel_booking,"Delhi, Bangalore",2024-01-18,No specific recommendation for this route.
"User is looking for flight booking in Pune, Mumbai.",flight_booking,"Pune, Mumbai",2024-10-27,No specific recommendation for this route.
"User is looking for hotel booking in Kolkata, Hyderabad.",hotel_booking,"Kolkata, Hyderabad",2024-03-18,No specific recommendation for this route.
"User is looking for car rental in Chennai, Chennai.",car_rental,"Chennai, Chennai",2024-04-25,No specific recommendation for this route.
"User is looking for flight booking in Jaipur, Kolkata.",flight_booking,"Jaipur, Kolkata",2024-12-19,No specific recommendation for this route.
"User is looking for travel advisory in Chennai, Bangalore.",travel_advisory,"Chennai, Bangalore",2024-09-28,No specific recommendation for this route.
"User is looking for travel advisory in Mumbai, Pune.",travel_advisory,"Mumbai, Pune",2024-10-15,No specific recommendation for this route.
"User is looking for flight booking in Bangalore, Kolkata.",flight_booking,"Bangalore, Kolkata",2024-03-17,No specific recommendation for this route.
"User is looking for travel advisory in Jaipur, Mumbai.",travel_advisory,"Jaipur, Mumbai",2024-08-16,No specific recommendation for this route.
"User is looking for travel advisory in Pune, Hyderabad.",travel_advisory,"Pune, Hyderabad",2024-05-18,No specific recommendation for this route.
"User is looking for hotel booking in Hyderabad, Kolkata.",hotel_booking,"Hyderabad, Kolkata",2024-11-20,No specific recommendation for this route.
